Designator,Mid X,Mid Y,Layer,Rotation
D7,3.6044mm,34.0044mm,Top,90
D8,12.0044mm,55.0044mm,Top,45
Q2,55.7784mm,29.6164mm,Top,90
D1,34.3319mm,64.3794mm,Top,0
U2,42.1894mm,16.2814mm,Top,0
U1,41.8084mm,47.0154mm,Top,0
R8,44.2214mm,23.0124mm,Top,0
R7,43.9674mm,32.7914mm,Top,0
R6,39.9034mm,22.8854mm,Top,0
R5,39.6494mm,32.9184mm,Top,0
R4,43.9674mm,27.9654mm,Top,0
R3,44.0944mm,37.9984mm,Top,0
R2,39.7764mm,27.8384mm,Top,0
R1,39.7764mm,38.1254mm,Top,0
D6,12.2945mm,12.7576mm,Top,135
D5,33.6769mm,3.6294mm,Top,180
D4,55.2512mm,12.2945mm,Top,225
D3,64.3794mm,33.6769mm,Top,270
D2,55.7143mm,55.2512mm,Top,315
